L(T-1),L(T-2),L(T-24),L(T-48),P(T-1),P(T-2),P(T-24),P(T-48),Day,Season,L(T)
8963.8,7445.63,8576.46,10002.88,2892.89,2777.14,2799.22,3044.42,0,2,9627.79
9627.79,8963.8,7796.63,8939.92,3440.83,2892.89,2846.04,3178.08,0,2,8397.3
8397.3,9627.79,9206.84,10239,3872.64,3440.83,3494.08,4082.56,0,2,8733.35
8733.35,8397.3,8141.35,9372.21,5284.01,3872.64,3398.44,3805.93,0,2,8037.83
8037.83,8733.35,6288.73,6686.73,4837.93,5284.01,2625.18,2682.62,0,2,6595.18
6595.18,8037.83,5344.75,5143.43,3607.81,4837.93,2609.14,2411.89,0,2,5700.5
5700.5,6595.18,4458.45,4386.23,2960.39,3607.81,2205.25,2113.93,0,2,4321.55
4321.55,5700.5,5208.75,4900.58,2597.95,2960.39,2182.27,2095.94,0,2,3924.28
3924.28,4321.55,4795.65,5460.4,2414.08,2597.95,2202.51,2106.03,0,2,5568.7
5568.7,3924.28,5559.55,5787.4,2340.83,2414.08,2092.47,1951.46,0,2,5870.48
5870.48,5568.7,5324.85,5905.03,2130.26,2340.83,2001.58,1804.03,0,2,6069.95
6069.95,5870.48,5636.85,5975.08,2019.66,2130.26,1997.42,1781.42,0,2,6052.05
6052.05,6069.95,5055.35,6046.43,1991.91,2019.66,2003.67,1901.44,0,2,6200.2
6200.2,6052.05,4893.69,6515.05,2112.31,1991.91,2307.14,2057.26,0,2,6260.48
6260.48,6200.2,7234.5,7619.23,2319.37,2112.31,2727.53,2508.5,0,2,8786.19
8786.19,6260.48,9907.28,10636.07,2802.53,2319.37,3498.91,3252.46,0,2,10861.98
10861.98,8786.19,9684.78,9959.02,4009.4,2802.53,4707.95,3645.44,0,2,9635.63
9635.63,10861.98,8879.15,9604.3,5462.93,4009.4,5862.89,4037.03,0,2,9375.2
9375.2,9635.63,8517.5,8925.85,6050.46,5462.93,4800.15,3229.44,0,2,9035.23
9035.23,9375.2,7893.5,8134.15,5075.3,6050.46,4400.25,3117.47,0,2,7931.85
7931.85,9035.23,7660.15,7527.73,3555.41,5075.3,4082.75,2853.4,0,2,7786.7
7786.7,7931.85,6680.09,5977.08,3522.42,3555.41,2842.1,2531.14,0,2,7023.23
7023.23,7786.7,7445.63,6632.3,2789.25,3522.42,2777.14,2399.66,0,2,7567.6
7567.6,7023.23,8963.8,7703.48,2695.32,2789.25,2892.89,2603.55,0,2,8970.23
8970.23,7567.6,9627.79,8576.46,2791.85,2695.32,3440.83,2799.22,0,2,9573.1
9573.1,8970.23,8397.3,7796.63,2968.55,2791.85,3872.64,2846.04,0,2,8872.9
8872.9,9573.1,8733.35,9206.84,3385.14,2968.55,5284.01,3494.08,0,2,9732.03
9732.03,8872.9,8037.83,8141.35,4794.58,3385.14,4837.93,3398.44,0,2,8989.43
8989.43,9732.03,6595.18,6288.73,4845.45,4794.58,3607.81,2625.18,0,2,7054.63
7054.63,8989.43,5700.5,5344.75,3050.31,4845.45,2960.39,2609.14,0,2,5604.45
5604.45,7054.63,4321.55,4458.45,2589.59,3050.31,2597.95,2205.25,0,2,4639.58
4639.58,5604.45,3924.28,5208.75,2311.04,2589.59,2414.08,2182.27,0,2,5131.65
5131.65,4639.58,5568.7,4795.65,2346.19,2311.04,2340.83,2202.51,0,2,5133.38
5133.38,5131.65,5870.48,5559.55,2222.13,2346.19,2130.26,2092.47,0,2,5662.85
5662.85,5133.38,6069.95,5324.85,2093.85,2222.13,2019.66,2001.58,0,2,5983.08
5983.08,5662.85,6052.05,5636.85,1991.51,2093.85,1991.91,1997.42,0,2,5937.38
5937.38,5983.08,6200.2,5055.35,1876.99,1991.51,2112.31,2003.67,0,2,5408.33
5408.33,5937.38,6260.48,4893.69,1896.64,1876.99,2319.37,2307.14,0,2,6008.8
6008.8,5408.33,8786.19,7234.5,2249.5,1896.64,2802.53,2727.53,0,2,9051.63
9051.63,6008.8,10861.98,9907.28,2848.82,2249.5,4009.4,3498.91,0,2,10721.05
